name,hubble_type,type_group,param_source,ape,rms,chi2_reduced,n_points,elapsed,params_used
NGC6674,Sb,early,class_early,13.534461061590305,55.3999649427298,51.38859615334893,15,0.016957759857177734,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC6789,BCD,late,class_late,47.24241779670722,25.090485447624996,23.828565565316534,4,0.012513160705566406,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC6946,Scd,late,class_late,104.79145833416244,173.01284584442504,3403.559943601492,58,0.04326224327087402,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC7331,Sb,early,class_early,45.86862484836254,151.38906698564642,883.5782043047843,35,0.031019210815429688,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC7793,Sd,late,class_late,57.43235882179443,33.26832217210602,27.89045916705775,46,0.038861751556396484,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC7814,Sab,early,class_early,25.096107593441808,75.38741222420457,128.87184203251425,18,0.02088022232055664,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
PGC51017,BCD,late,class_late,53.10637149203862,10.535572480935025,31.30176043008953,6,0.014421463012695312,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC00128,Sdm,late,class_late,54.361898861245955,60.35407335950892,463.66127739127796,22,0.021729469299316406,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC00191,Sm,late,class_late,40.84297379858371,31.79554629478821,249.93487262687967,9,0.014182329177856445,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC00634,Sm,late,class_late,17.054007127092348,16.65371180817549,46.37892180256093,4,0.01081395149230957,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC00731,Im,late,class_late,26.194492028941227,20.86538535751411,58.652522244223064,12,0.017790794372558594,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC00891,Sm,late,class_late,29.298281786892403,14.383478596490335,57.76995376596844,5,0.011647701263427734,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC01230,Sm,late,class_late,56.12008698335189,34.999425740672315,12.009130373240833,11,0.016719818115234375,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC01281,Sdm,late,class_late,40.046010686647996,18.99393642023529,19.880575552367503,25,0.024853944778442383,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC02023,Im,late,class_late,36.277169381739135,11.222356806030593,2.08467618630102,5,0.01053309440612793,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC02259,Sdm,late,class_late,13.287228751820532,13.240349750920638,35.605494897046384,8,0.012428998947143555,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC02455,Im,late,class_late,192.0131938650831,61.95491291219984,331.0858966272419,8,0.019502639770507812,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
UGC02487,S0,early,class_early,24.578218036279303,181.00070937034556,384.35430414286617,16,0.01813960075378418,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
UGC02885,Sc,intermediate,class_intermediate,32.160488027256825,157.67898901036747,262.43922662850014,19,0.021403789520263672,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
UGC02916,Sab,early,class_early,35.2449659183533,102.45645819499441,1141.1574856998882,43,0.03455710411071777,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
UGC02953,Sab,early,class_early,60.15133278690136,210.6607054453461,984.0918522418069,115,0.08028864860534668,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
UGC03205,Sab,early,class_early,41.980509278234734,113.64695619205555,181.66645819646865,48,0.039034128189086914,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
UGC03546,Sa,early,class_early,45.023783399779646,121.39659093171846,147.71263190599828,30,0.028708457946777344,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
UGC03580,Sa,early,class_early,75.50638934626491,70.1490292008221,509.6841897375579,47,0.03769874572753906,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
UGC04278,Sd,late,class_late,37.32533498669703,25.09824596505633,23.695655848148494,25,0.022327661514282227,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
